Key,Frequency
0,1
1,0
2,1
3,0
4,0
5,0
6,1
7,0
8,0
9,0
10,1
11,1
12,2
13,1
14,0
15,0
16,0
17,1
18,2
19,2
20,3
21,1
22,1
23,0
24,1
25,1
26,2
27,0
28,0
29,1
30,0
31,1
32,0
33,0
34,2
35,3
36,1
37,0
38,1
39,0
40,3
41,1
42,4
43,0
44,1
45,1
46,3
47,2
48,1
49,1
50,1
51,0
52,1
53,3
54,0
55,2
56,2
57,2
58,0
59,1
60,1
61,1
62,0
63,2
64,2
65,1
66,0
67,2
68,0
69,2
70,0
71,0
72,2
73,0
74,2
75,0
76,3
77,0
78,0
79,1
80,2
81,2
82,1
83,0
84,0
85,0
86,2
87,2
88,0
89,0
90,2
91,0
92,1
93,2
94,1
95,2
96,1
97,0
98,0
99,0
100,1
101,1
102,0
103,2
104,1
105,1
106,0
107,0
108,1
109,0
110,3
111,2
112,1
113,2
114,1
115,0
116,1
117,1
118,2
119,0
120,1
121,3
122,0
123,0
124,1
125,0
126,3
127,0
128,0
129,1
130,0
131,0
132,1
133,0
134,0
135,0
136,3
137,1
138,1
139,2
140,1
141,2
142,0
143,0
144,1
145,2
146,0
147,0
148,0
149,2
150,0
151,0
152,1
153,0
154,1
155,1
156,1
157,1
158,0
159,0
160,1
161,1
162,0
163,0
164,1
165,0
166,3
167,2
168,2
169,0
170,1
171,0
172,0
173,1
174,1
175,0
176,0
177,1
178,0
179,0
180,0
181,0
182,0
183,0
184,1
185,2
186,1
187,2
188,2
189,0
190,0
191,1
192,1
193,3
194,2
195,0
196,1
197,0
198,0
199,0
200,2
201,0
202,1
203,2
204,0
205,1
206,1
207,0
208,1
209,1
210,1
211,2
212,1
213,0
214,1
215,0
216,1
217,1
218,0
219,1
220,2
221,2
222,1
223,1
224,1
225,1
226,1
227,2
228,0
229,1
230,0
231,2
232,1
233,1
234,0
235,0
236,0
237,1
238,0
239,0
240,0
241,1
242,0
243,2
244,1
245,2
246,2
247,2
248,0
249,0
250,2
251,0
252,0
253,3
254,0
255,1
256,2
257,1
258,1
259,1
260,2
261,0
262,1
263,1
264,0
265,1
266,1
267,0
268,1
269,1
270,0
271,0
272,0
273,0
274,2
275,1
276,2
277,0
278,1
279,0
280,0
281,0
282,2
283,0
284,2
285,1
286,0
287,1
288,1
289,0
290,2
291,2
292,0
293,1
294,2
295,0
296,0
297,0
298,1
299,1
300,3
301,1
302,1
303,1
304,4
305,3
306,3
307,1
308,1
309,0
310,5
311,4
312,0
313,0
314,0
315,1
316,2
317,0
318,0
319,3
320,1
321,0
322,1
323,1
324,0
325,2
326,2
327,0
328,2
329,0
330,0
331,0
332,1
333,1
334,2
335,0
336,1
337,0
338,0
339,3
340,0
341,1
342,0
343,0
344,0
345,0
346,1
347,1
348,0
349,0
350,1
351,1
352,0
353,0
354,1
355,1
356,0
357,2
358,0
359,2
360,1
361,0
362,0
363,0
364,3
365,2
366,2
367,1
368,3
369,2
370,2
371,1
372,3
373,1
374,1
375,1
376,2
377,5
378,2
379,2
380,2
381,2
382,2
383,0
384,1
385,2
386,1
387,0
388,3
389,1
390,7
391,2
392,0
393,3
394,2
395,1
396,0
397,1
398,1
399,0
400,1
401,2
402,1
403,1
404,0
405,0
406,2
407,0
408,0
409,1
410,1
411,0
412,1
413,1
414,1
415,2
416,1
417,0
418,0
419,0
420,2
421,1
422,2
423,1
424,0
425,1
426,0
427,1
428,1
429,1
430,1
431,2
432,2
433,0
434,1
435,2
436,1
437,2
438,0
439,1
440,1
441,0
442,1
443,1
444,0
445,0
446,0
447,0
448,1
449,3
450,2
451,0
452,0
453,0
454,2
455,1
456,0
457,1
458,0
459,1
460,1
461,1
462,0
463,1
464,0
465,2
466,1
467,0
468,2
469,1
470,1
471,2
472,0
473,0
474,1
475,2
476,0
477,0
478,2
479,3
480,2
481,1
482,0
483,3
484,0
485,1
486,1
487,2
488,0
489,0
490,1
491,2
492,0
493,1
494,0
495,0
496,0
497,3
498,1
499,3
500,2
501,1
502,1
503,1
504,1
505,1
506,0
507,0
508,1
509,1
510,1
511,1
512,0
513,1
514,2
515,1
516,2
517,1
518,0
519,1
520,3
521,2
522,1
523,0
524,3
525,2
526,0
527,0
528,1
529,0
530,0
531,1
532,2
533,1
534,1
535,1
536,1
537,1
538,2
539,2
540,0
541,1
542,3
543,0
544,0
545,1
546,0
547,1
548,0
549,0
550,2
551,2
552,0
553,0
554,5
555,1
556,1
557,0
558,2
559,2
560,2
561,2
562,2
563,1
564,0
565,0
566,0
567,0
568,0
569,2
570,3
571,1
572,0
573,0
574,0
575,0
576,1
577,0
578,0
579,0
580,1
581,2
582,3
583,1
584,0
585,0
586,0
587,1
588,2
589,0
590,1
591,1
592,2
593,1
594,0
595,0
596,1
597,1
598,0
599,2
600,1
601,0
602,2
603,0
604,0
605,1
606,1
607,1
608,1
609,0
610,0
611,0
612,3
613,1
614,0
615,0
616,0
617,0
618,3
619,4
620,2
621,1
622,4
623,6
624,1
625,1
626,3
627,1
628,3
629,1
630,0
631,0
632,1
633,3
634,1
635,1
636,0
637,1
638,2
639,0
640,1
641,1
642,2
643,3
644,0
645,0
646,2
647,0
648,2
649,3
650,3
651,0
652,1
653,1
654,0
655,0
656,0
657,1
658,1
659,0
660,1
661,0
662,1
663,3
664,2
665,0
666,1
667,0
668,1
669,0
670,1
671,2
672,3
673,0
674,2
675,1
676,0
677,1
678,3
679,2
680,0
681,1
682,0
683,1
684,0
685,1
686,3
687,1
688,0
689,2
690,0
691,1
692,1
693,3
694,1
695,2
696,1
697,1
698,1
699,0
700,2
701,0
702,2
703,4
704,1
705,0
706,0
707,2
708,0
709,1
710,0
711,0
712,2
713,2
714,1
715,2
716,2
717,2
718,2
719,2
720,1
721,2
722,0
723,1
724,3
725,1
726,0
727,3
728,1
729,4
730,1
731,0
732,1
733,3
734,0
735,1
736,0
737,1
738,0
739,0
740,2
741,1
742,1
743,0
744,3
745,1
746,4
747,1
748,0
749,1
750,0
751,0
752,1
753,0
754,0
755,2
756,0
757,1
758,0
759,1
760,0
761,2
762,0
763,0
764,1
765,1
766,1
767,0
768,1
769,0
770,1
771,0
772,1
773,3
774,1
775,1
776,1
777,0
778,1
779,0
780,1
781,2
782,1
783,1
784,0
785,3
786,0
787,1
788,2
789,1
790,0
791,1
792,1
793,0
794,1
795,1
796,1
797,2
798,0
799,1
800,0
801,0
802,2
803,3
804,1
805,0
806,2
807,1
808,1
809,0
810,1
811,2
812,2
813,2
814,2
815,1
816,1
817,5
818,1
819,2
820,2
821,1
822,1
823,2
824,1
825,0
826,1
827,0
828,0
829,0
830,1
831,0
832,1
833,0
834,1
835,0
836,1
837,2
838,1
839,0
840,3
841,1
842,1
843,2
844,1
845,0
846,1
847,3
848,0
849,1
850,0
851,0
852,1
853,1
854,0
855,0
856,1
857,1
858,0
859,1
860,1
861,2
862,2
863,2
864,0
865,0
866,0
867,1
868,0
869,2
870,4
871,1
872,2
873,0
874,0
875,3
876,0
877,0
878,2
879,1
880,1
881,1
882,0
883,0
884,2
885,1
886,0
887,0
888,1
889,1
890,2
891,0
892,3
893,1
894,3
895,0
896,2
897,1
898,1
899,1
900,4
901,1
902,0
903,0
904,3
905,2
906,0
907,0
908,0
909,1
910,3
911,0
912,0
913,2
914,2
915,3
916,0
917,0
918,0
919,1
920,0
921,3
922,1
923,1
924,0
925,1
926,0
927,1
928,1
929,0
930,1
931,0
932,2
933,0
934,1
935,1
936,1
937,1
938,1
939,1
940,0
941,2
942,3
943,0
944,1
945,1
946,2
947,0
948,1
949,0
950,1
951,0
952,2
953,2
954,0
955,2
956,2
957,0
958,1
959,0
960,2
961,1
962,1
963,0
964,0
965,1
966,2
967,0
968,0
969,0
970,0
971,2
972,1
973,1
974,0
975,1
976,2
977,1
978,1
979,0
980,1
981,1
982,2
983,1
984,1
985,0
986,1
987,1
988,1
989,3
990,1
991,2
992,0
993,2
994,0
995,1
996,0
997,1
998,3
999,1
1000,0
1001,0
1002,0
1003,2
1004,4
1005,1
1006,1
1007,1
1008,2
1009,2
1010,2
1011,0
1012,2
1013,3
1014,1
1015,2
1016,0
1017,0
1018,2
1019,0
1020,1
1021,0
1022,0
1023,0
1024,2
1025,2
1026,2
1027,3
1028,1
1029,0
1030,1
1031,2
1032,0
1033,2
1034,0
1035,1
1036,0
1037,2
1038,0
1039,0
1040,0
1041,1
1042,0
1043,0
1044,0
1045,0
1046,1
1047,2
1048,0
1049,0
1050,2
1051,0
1052,0
1053,4
1054,1
1055,0
1056,0
1057,1
1058,0
1059,2
1060,1
1061,1
1062,2
1063,0
1064,0
1065,2
1066,2
1067,0
1068,1
1069,1
1070,1
1071,1
1072,1
1073,4
1074,1
1075,1
1076,0
1077,1
1078,1
1079,0
1080,0
1081,3
1082,1
1083,1
1084,2
1085,2
1086,1
1087,2
1088,2
1089,4
1090,1
1091,1
1092,1
1093,0
1094,2
1095,0
1096,2
1097,0
1098,2
1099,1
1100,0
1101,1
1102,1
1103,1
1104,0
1105,0
1106,0
1107,1
1108,0
1109,0
1110,0
1111,1
1112,1
1113,1
1114,0
1115,0
1116,0
1117,1
1118,3
1119,0
1120,1
1121,1
1122,1
1123,0
1124,1
1125,2
1126,1
1127,0
1128,0
1129,0
1130,0
1131,2
1132,0
1133,1
1134,0
1135,2
1136,0
1137,2
1138,2
1139,1
1140,1
1141,1
1142,0
1143,0
1144,4
1145,3
1146,0
1147,2
1148,2
1149,0
1150,0
1151,2
1152,1
1153,1
1154,0
1155,2
1156,1
1157,2
1158,1
1159,0
1160,1
1161,3
1162,1
1163,0
1164,1
1165,2
1166,2
1167,0
1168,0
1169,0
1170,1
1171,4
1172,2
1173,3
1174,0
1175,1
1176,0
1177,2
1178,0
1179,1
1180,1
1181,1
1182,1
1183,0
1184,1
1185,0
1186,1
1187,0
1188,0
1189,1
1190,1
1191,2
1192,3
1193,2
1194,0
1195,0
1196,2
1197,0
1198,1
1199,0
1200,3
1201,1
1202,3
1203,1
1204,3
1205,2
1206,1
1207,2
1208,1
1209,0
1210,0
1211,2
1212,0
1213,1
1214,0
1215,0
1216,1
1217,0
1218,1
1219,0
1220,0
1221,3
1222,0
1223,2
1224,4
1225,1
1226,2
1227,0
1228,1
1229,0
